date,time,round,home_team,away_team,venue,result,home_goals,away_goals,home_poss,away_poss,home_xg,away_xg,home_sh,away_sh,home_shot_on_target,away_shot_on_target,home_form_last_5,home_avg_goals_last_5,home_avg_goals_conceded_last_5,home_avg_xg_last_5,home_avg_xg_conceded_last_5,home_avg_poss_last_5,home_avg_shots_last_5,home_avg_shots_on_target_last_5,away_form_last_5,away_avg_goals_last_5,away_avg_goals_conceded_last_5,away_avg_xg_last_5,away_avg_xg_conceded_last_5,away_avg_poss_last_5,away_avg_shots_last_5,away_avg_shots_on_target_last_5,home_Arsenal,home_Aston Villa,home_Brighton,home_Burnley,home_Chelsea,home_Crystal Palace,home_Everton,home_Fulham,home_Leeds United,home_Leicester City,home_Liverpool,home_Manchester City,home_Manchester Utd,home_Newcastle Utd,home_Sheffield Utd,home_Southampton,home_Tottenham,home_West Brom,home_West Ham,home_Wolves,away_Arsenal,away_Aston Villa,away_Brighton,away_Burnley,away_Chelsea,away_Crystal Palace,away_Everton,away_Fulham,away_Leeds United,away_Leicester City,away_Liverpool,away_Manchester City,away_Manchester Utd,away_Newcastle Utd,away_Sheffield Utd,away_Southampton,away_Tottenham,away_West Brom,away_West Ham,away_Wolves,form_difference,goals_difference,xg_difference,poss_difference,defensive_difference
2020-09-27,14:00,Matchweek 3,Tottenham,Newcastle Utd,Home,0,1,1,66.0,34.0,2.9,1.0,23.0,5.0,12.0,0.0,0.0,2.5,1.5,1.6,1.6,50.5,9.0,5.5,0.0,1.0,1.5,1.05,1.4,44.5,10.5,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1.5,0.55,6.0,0.0
2020-09-27,16:30,Matchweek 3,Manchester City,Leicester City,Home,-1,2,5,72.0,28.0,0.9,2.9,16.0,4.0,5.0,4.0,1.0,3.0,1.0,1.9,0.6,65.0,13.0,8.0,1.0,3.5,1.0,2.0,0.8999999999999999,65.5,12.5,5.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,-0.5,-0.10000000000000009,-0.5,0.0
2020-09-27,19:00,Matchweek 3,West Ham,Wolves,Home,1,4,0,37.0,63.0,2.4,0.5,15.0,11.0,7.0,2.0,-1.0,0.5,2.0,1.5,1.35,48.0,14.5,2.5,0.0,1.5,1.5,1.0,1.45,40.0,10.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.0,-1.0,0.5,8.0,-0.5
2020-09-28,17:45,Matchweek 3,Fulham,Aston Villa,Home,-1,0,3,64.0,36.0,0.7,1.4,16.0,12.0,2.0,5.0,-1.0,1.5,3.5,0.9,1.65,47.5,9.0,3.5,1.0,1.0,0.0,1.0,0.9,71.0,18.0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.0,0.5,-0.09999999999999998,-23.5,-3.5
2020-09-28,20:00,Matchweek 3,Liverpool,Arsenal,Home,1,3,1,66.0,34.0,2.7,1.3,21.0,4.0,8.0,3.0,1.0,3.0,1.5,2.4000000000000004,0.6,55.0,19.0,4.5,1.0,2.5,0.5,1.5,1.05,58.0,10.0,4.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.5,0.9000000000000004,-3.0,-1.0
2020-10-03,12:30,Matchweek 4,Chelsea,Crystal Palace,Home,1,4,0,70.0,30.0,2.7,0.2,15.0,4.0,4.0,0.0,0.0,2.0,2.0,1.3666666666666665,1.2666666666666668,54.0,11.666666666666666,5.333333333333333,0.3333333333333333,1.6666666666666667,1.0,1.0333333333333334,1.3333333333333333,32.666666666666664,8.666666666666666,2.6666666666666665,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3333333333333333,0.33333333333333326,0.33333333333333304,21.333333333333336,-1.0
2020-10-03,15:00,Matchweek 4,Everton,Brighton,Home,1,4,2,43.0,57.0,1.6,1.3,11.0,11.0,6.0,3.0,1.0,2.6666666666666665,1.0,2.3333333333333335,0.6,59.0,13.666666666666666,5.0,-0.3333333333333333,2.0,2.0,1.8,1.0666666666666667,52.666666666666664,14.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3333333333333333,0.6666666666666665,0.5333333333333334,6.333333333333336,1.0
2020-10-03,17:30,Matchweek 4,Leeds United,Manchester City,Home,0,1,1,51.0,49.0,2.4,1.2,12.0,23.0,7.0,1.0,0.3333333333333333,2.6666666666666665,2.3333333333333335,0.9666666666666667,1.9333333333333333,55.333333333333336,10.666666666666666,5.666666666666667,0.0,2.5,3.0,1.4,1.75,68.5,14.5,6.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3333333333333333,0.16666666666666652,-0.43333333333333324,-13.166666666666664,0.6666666666666665
2020-10-03,20:00,Matchweek 4,Newcastle Utd,Burnley,Home,1,3,1,48.0,52.0,1.8,0.4,9.0,7.0,4.0,3.0,0.0,1.0,1.3333333333333333,1.0333333333333334,1.9000000000000001,41.0,8.666666666666666,0.6666666666666666,-1.0,1.0,2.5,0.95,0.8999999999999999,43.0,13.0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.08333333333333348,-2.0,1.1666666666666667
2020-10-04,12:00,Matchweek 4,Leicester City,West Ham,Home,-1,0,3,69.0,31.0,0.6,2.0,4.0,14.0,0.0,6.0,1.0,4.0,1.3333333333333333,2.3,0.8999999999999999,53.0,9.666666666666666,5.0,-0.3333333333333333,1.6666666666666667,1.3333333333333333,1.8,1.0666666666666667,44.333333333333336,14.666666666666666,4.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.3333333333333333,2.333333333333333,0.4999999999999998,8.666666666666664,0.0
