date,time,round,home_team,away_team,venue,result,home_goals,away_goals,home_poss,away_poss,home_xg,away_xg,home_sh,away_sh,home_shot_on_target,away_shot_on_target,home_form_last_5,home_avg_goals_last_5,home_avg_goals_conceded_last_5,home_avg_xg_last_5,home_avg_xg_conceded_last_5,home_avg_poss_last_5,home_avg_shots_last_5,home_avg_shots_on_target_last_5,away_form_last_5,away_avg_goals_last_5,away_avg_goals_conceded_last_5,away_avg_xg_last_5,away_avg_xg_conceded_last_5,away_avg_poss_last_5,away_avg_shots_last_5,away_avg_shots_on_target_last_5,home_Arsenal,home_Aston Villa,home_Bournemouth,home_Brentford,home_Brighton,home_Chelsea,home_Crystal Palace,home_Everton,home_Fulham,home_Ipswich Town,home_Leicester City,home_Liverpool,home_Manchester City,home_Manchester Utd,home_Newcastle Utd,home_Nott'ham Forest,home_Southampton,home_Tottenham,home_West Ham,home_Wolves,away_Arsenal,away_Aston Villa,away_Bournemouth,away_Brentford,away_Brighton,away_Chelsea,away_Crystal Palace,away_Everton,away_Fulham,away_Ipswich Town,away_Leicester City,away_Liverpool,away_Manchester City,away_Manchester Utd,away_Newcastle Utd,away_Nott'ham Forest,away_Southampton,away_Tottenham,away_West Ham,away_Wolves,form_difference,goals_difference,xg_difference,poss_difference,defensive_difference
2024-08-31,15:00,Matchweek 3,Ipswich Town,Fulham,Home,0,1,1,48.0,52.0,0.4,0.9,11.0,9.0,4.0,4.0,-1.0,0.5,3.0,0.4,2.95,31.5,4.0,1.5,0.0,1.0,1.0,1.1,1.5,49.5,14.0,4.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.0,-0.5,-0.7000000000000001,-18.0,-2.0
2024-08-31,15:00,Matchweek 3,Leicester City,Aston Villa,Home,-1,1,2,57.0,43.0,0.4,1.4,9.0,10.0,3.0,5.0,-0.5,1.0,1.5,0.8,1.5,38.0,8.5,3.5,0.0,1.0,1.5,1.6,1.5999999999999999,44.0,13.0,3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0.0,-0.8,-6.0,0.0
2024-08-31,15:00,Matchweek 3,Nott'ham Forest,Wolves,Home,0,1,1,52.0,48.0,1.0,0.7,16.0,11.0,5.0,2.0,0.5,1.0,0.5,1.75,0.65,44.5,18.5,8.0,-1.0,1.0,4.0,1.2,1.4,43.5,10.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5,0.0,0.55,1.0,3.5
2024-08-31,17:30,Matchweek 3,West Ham,Manchester City,Home,-1,1,3,33.0,67.0,0.7,3.0,10.0,23.0,2.0,8.0,0.0,1.5,1.0,1.8499999999999999,1.65,47.0,15.5,2.5,1.0,3.0,0.5,2.05,0.65,63.5,12.0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1.0,-1.5,-0.19999999999999996,-16.5,-0.5
2024-09-01,13:30,Matchweek 3,Chelsea,Crystal Palace,Home,0,1,1,62.0,38.0,2.4,0.5,13.0,9.0,7.0,3.0,0.0,3.0,2.0,1.3,1.35,54.0,12.0,5.5,-1.0,0.5,2.0,1.25,1.5,56.0,14.0,4.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.5,0.050000000000000044,-2.0,0.0
2024-09-01,13:30,Matchweek 3,Newcastle Utd,Tottenham,Home,1,2,1,35.0,65.0,1.8,1.2,9.0,20.0,3.0,6.0,0.5,1.0,0.5,0.9500000000000001,2.0,42.0,8.5,3.0,0.5,2.5,0.5,1.7999999999999998,1.0,70.0,14.0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,-1.5,-0.8499999999999998,-28.0,0.0
2024-09-01,16:00,Matchweek 3,Manchester Utd,Liverpool,Home,-1,0,3,53.0,47.0,1.4,1.8,8.0,11.0,3.0,3.0,0.0,1.0,1.0,1.9,1.25,53.5,12.5,4.0,1.0,2.0,0.0,2.55,0.5,62.0,18.5,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1.0,-1.0,-0.6499999999999999,-8.5,-1.0
2024-09-14,12:30,Matchweek 4,Southampton,Manchester Utd,Home,-1,0,3,44.0,56.0,1.1,2.6,5.0,20.0,2.0,10.0,-1.0,0.3333333333333333,1.6666666666666667,1.1333333333333335,1.7666666666666666,68.0,14.0,3.3333333333333335,-0.3333333333333333,0.6666666666666666,1.6666666666666667,1.7333333333333332,1.4333333333333333,53.333333333333336,11.0,3.6666666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.6666666666666667,-0.3333333333333333,-0.5999999999999996,14.666666666666664,0.0
2024-09-14,15:00,Matchweek 4,Brighton,Ipswich Town,Home,0,0,0,68.0,32.0,1.6,0.3,21.0,6.0,6.0,1.0,0.6666666666666666,2.0,0.6666666666666666,1.7333333333333334,1.3333333333333333,57.333333333333336,15.333333333333334,4.333333333333333,-0.6666666666666666,0.6666666666666666,2.3333333333333335,0.39999999999999997,2.2666666666666666,37.0,6.333333333333333,2.3333333333333335,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.3333333333333333,1.3333333333333335,1.3333333333333335,20.333333333333336,1.666666666666667
2024-09-14,15:00,Matchweek 4,Crystal Palace,Leicester City,Home,0,2,2,66.0,34.0,2.5,1.2,19.0,9.0,3.0,4.0,-0.6666666666666666,0.6666666666666666,1.6666666666666667,1.0,1.8,50.0,12.333333333333334,3.6666666666666665,-0.6666666666666666,1.0,1.6666666666666667,0.6666666666666666,1.4666666666666668,44.333333333333336,8.666666666666666,3.3333333333333335,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,-0.33333333333333337,0.33333333333333337,5.666666666666664,0.0
